"Name","Address","Sector","Stage","Website","City","latitude","longitude"
"Dreamit Venture","1617 JFK Boulevard, Suite 2044, Philadelphia, PA 19103","Securetech, Urbantech, Healthtech","Pre-Seed, Seed","https://www.dreamit.com/","Philadelphia, PA","39.954","-75.1676"
"BioAdvance","4801 South Broad Street, Suite 200, Philadelphia, PA 19112","Life Science","Pre-Seed, Seed, Series A","https://bioadvance.com/","Philadelphia, PA","39.8926","-75.1761"
"Osage Venture Partners","50 Monument Road, Suite 201, Bala Cynwyd, PA 19004","B2B SAS","Series A, Series B","https://osageventurepartners.com/","Bala Cynwyd, PA","40.0094","-75.2162"
"Mission OG","2400 Market Street, Suite 270, Philadelphia, PA 19103","General tech","Series A, Series B","https://missionog.com/","Philadelphia, PA","39.9543","-75.1792"
"SeventySix Capital","3601 S Broad St, Philadelphia, PA 19148","Sports Tech","Pre-Seed, Seed","https://www.seventysixcapital.com/","Philadelphia, PA","39.9013","-75.172"
"Robin Hood Ventures","2526 Naudain Street, Philadelphia, PA 19146","Software, Healthcare IT, Hardtech, Consumer","Pre-Seed, Seed","https://www.robinhoodventures.com/","Philadelphia, PA","39.9464","-75.1828"
"Rittenhouse Ventures","4801 S. Broad St., Suite 340, Philadelphia, PA 19112","Healthcare IT, Fintech, HR Tech, B2B Services","Seed, Series A","https://rittenhouseventures.com/","Philadelphia, PA","39.8923","-75.1744"
"EnerTech Capital","625 W. Ridge Pike, Suite 105, Conshohocken, PA 19428","Mobility, Industry 4.0, Connected Customer","Seed, Series A, Series B","https://www.enertechcapital.com/","Philadelphia, PA","40.0956","-75.2991"
"Clean Energy Ventures","50 Milk Street, Floor 16, Boston, MA 02109","Clean Tech, Battery Tech","Seed, Series A","https://cleanenergyventures.com/","Boston, MA","42.3572","-71.0576"
"Earth Foundry","4809 N. Ravenswood Ave, Suite 415, Chicago, IL 60640","Energy, Water, Waste, Mobility, Agriculture","Pre-Seed, Seed","https://www.earthfoundry.com/","Chicago, IL","41.9696","-87.674"
"SOSV (Hax program)","707 Broad Street, 10th Floor, Newark, NJ 07102","Hard Tech","Pre-Seed, Seed","https://hax.co/","Newark, NJ","40.7357","-74.1724"
"Lowercarbon Capital","970 West Broadway, Suite E-442, Jackson, WY 83002","Clean Tech, Climate Tech","Seed, Series A, Series B","https://lowercarbon.com/","Jackson, WY","43.4799","-110.7624"
"Third Sphere","1390 Market St, #200, San Francisco, CA 94102","Clean Tech, Climate Tech, Hardware","Pre-Seed, Seed","https://thirdsphere.com/","San Francisco, CA","37.7766","-122.4173"
"Breakthrough Energy Ventures","505 5th Ave S, Kirkland, WA 98033","Energy, Agriculture, Manufacturing, Transportation","Seed, Series A, Series B, Series C","https://breakthroughenergy.org/","Kirkland, WA","47.6769","-122.206"
"Energy Impact Partners","1345 Avenue of the Americas, New York, NY 10105","Energy, Clean Tech","Series A, Series B, Series C","https://www.energyimpactpartners.com/","New York, NY","40.7619","-73.979"
"Prelude Ventures","One Ferry Building, Suite 275, San Francisco, CA 94111","Climate Tech","Seed, Series A, Series B","https://preludeventures.com/","San Francisco, CA","37.7955","-122.3937"
"Evergreen Climate Innovation","400 N Aberdeen St, Ste 900, Chicago, IL 60642","Climate Tech","Pre-Seed, Seed","https://evergreeninno.org/","Chicago, IL","41.8894","-87.6545"
"Greentown Labs","444 Somerville Ave, Somerville, MA 02143","Climate Tech Incubator","Pre-Seed, Seed","https://greentownlabs.com/","Somerville, MA","42.3804","-71.103"
"OM VC","3607 S West Shore Blvd, Tampa, FL 33629","Deep Tech, Healthtech","Seed, Series A","https://www.omventures.com/","Tampa, FL","27.9157","-82.5225"
"Angeleno Group","9884 S Santa Monica Blvd, Beverly Hills, CA 90212","Clean Tech, Climate Tech","Series B, Series C","https://www.angelenogroup.com/","Los Angeles, CA","34.0664","-118.4107"
"National Grid Partners","3000 Sand Hill Road, Building 1, Menlo Park, CA 94025","Future electric networks, Decarbonizing gas, Operational Efficiency","Seed, Series A, Series B","https://www.ngpartners.com/","Menlo Park, CA","37.4205","-122.2127"
"Braemar Energy Ventures","350 Madison Avenue, 23rd Floor, New York, NY 10017","Mobility, Power, Resource","Series A, Series B","http://www.braemarenergy.com/","New York, NY","40.7538","-73.9785"
